Row,rowNumSlots,tableSlotID,isReserved
1,12,1,FALSE
1,12,2,FALSE
1,12,3,FALSE
1,12,4,FALSE
1,12,5,FALSE
1,12,6,FALSE
1,12,7,FALSE
1,12,8,FALSE
1,12,9,FALSE
1,12,10,FALSE
1,12,11,FALSE
1,12,12,FALSE
2,12,1,FALSE
2,12,2,FALSE
2,12,3,FALSE
2,12,4,FALSE
2,12,5,FALSE
2,12,6,FALSE
2,12,7,FALSE
2,12,8,FALSE
2,12,9,FALSE
2,12,10,FALSE
2,12,11,FALSE
2,12,12,FALSE
3,12,1,FALSE
3,12,2,FALSE
3,12,3,FALSE
3,12,4,FALSE
3,12,5,FALSE
3,12,6,FALSE
3,12,7,FALSE
3,12,8,FALSE
3,12,9,FALSE
3,12,10,FALSE
3,12,11,FALSE
3,12,12,FALSE
4,14,1,FALSE
4,14,2,FALSE
4,14,3,FALSE
4,14,4,FALSE
4,14,5,FALSE
4,14,6,FALSE
4,14,7,FALSE
4,14,8,FALSE
4,14,9,FALSE
4,14,10,FALSE
4,14,11,FALSE
4,14,12,FALSE
4,14,13,FALSE
4,14,14,TRUE
5,14,1,FALSE
5,14,2,FALSE
5,14,3,FALSE
5,14,4,FALSE
5,14,5,FALSE
5,14,6,FALSE
5,14,7,FALSE
5,14,8,FALSE
5,14,9,FALSE
5,14,10,FALSE
5,14,11,FALSE
5,14,12,FALSE
5,14,13,FALSE
5,14,14,FALSE